GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
resources-extension,com.soebes.junit.jupiter.resources,ResourceLoader,84,70,1,1,11,15,2,6,1,6
resources-extension,com.soebes.junit.jupiter.resources,ResourceContentLines,0,9,0,0,0,4,0,2,0,2
resources-extension,com.soebes.junit.jupiter.resources,ResourceNotFoundException,19,4,0,0,8,2,4,1,4,1
resources-extension,com.soebes.junit.jupiter.resources,ResourceContentString,0,9,0,0,0,4,0,2,0,2
resources-extension,com.soebes.junit.jupiter.resources,ResourcePath,50,31,0,2,6,7,6,3,6,2
resources-extension,com.soebes.junit.jupiter.resources,TestResourceExtension,12,292,14,44,4,50,14,27,0,12
resources-extension,com.soebes.junit.jupiter.resources,ResourceFile,0,34,0,2,0,8,0,4,0,3
